date,team1,team2,team1_score,team2_score,tournament,city,country,team1_shots,team2_shots,team1_shotOntarget,team2_shotOntarget,team1_possession%,team2_possession%,team1_fouls,team2_fouls
22/11/2022,Argentina,Saudi Arabia,1,2,FIFA World Cup qualification,Lusail Stadium,Qatar,15,3,6,2,70,30,7,21
22/11/2022,France,Australia,4,1,FIFA World Cup qualification,Al Janoub Stadium,Qatar,23,4,7,1,63,37,5,11
23/11/2022,Morocco,Croatia,0,0,FIFA World Cup qualification,Al Bayt Stadium,Qatar,8,5,2,2,35,65,16,11
26/11/2022,France,Denmark,2,1,FIFA World Cup qualification,Stadium 974,Qatar,21,10,7,2,48,52,4,9
26/11/2022,Argentina,Mexico,2,0,FIFA World Cup qualification,Lusail Stadium,Qatar,5,4,2,1,59,41,15,19
27/11/2022,Belgium,Morocco,0,2,FIFA World Cup qualification,Al Thumama Stadium,Qatar,10,10,3,4,67,33,10,14
27/11/2022,Croatia,Canada,4,1,FIFA World Cup qualification,Khalifa International Stadium,Qatar,13,8,10,2,48,52,13,5
30/11/2022,Tunisia,France,1,0,FIFA World Cup qualification,Education City Stadium,Qatar,5,10,3,3,34,66,14,6
30/11/2022,Poland,Argentina,0,2,FIFA World Cup qualification,Stadium 974,Qatar,4,23,0,12,26,74,6,11
1/12/2022,Croatia,Belgium,0,0,FIFA World Cup qualification,Ahmad Bin Ali Stadium,Qatar,11,16,4,3,48,52,7,9
1/12/2022,Canada,Morocco,1,2,FIFA World Cup qualification,Al Thumama Stadium,Qatar,5,6,0,2,59,41,14,14
3/12/2022,Argentina,Australia,2,1,FIFA World Cup qualification,Ahmad Bin Ali Stadium,Qatar,14,5,5,1,61,39,8,15
4/12/2022,France,Poland,3,1,FIFA World Cup qualification,Al Thumama Stadium,Qatar,16,12,8,3,55,45,10,8
5/12/2022,Japan,Croatia,1,3,FIFA World Cup qualification,Al Janoub Stadium,Qatar,13,17,4,4,41,59,13,16
6/12/2022,Morocco,Spain,3,0,FIFA World Cup qualification,Education City Stadium,Qatar,6,13,2,1,23,77,15,14
9/12/2022,Croatia,Brazil,4,2,FIFA World Cup qualification,Education City Stadium,Qatar,9,21,1,11,51,49,22,24
9/12/2022,Netherlands,Argentina,3,4,FIFA World Cup qualification,Lusail Stadium,Qatar,6,14,2,5,52,48,30,18
10/12/2022,Morocco,Portugal,1,0,FIFA World Cup qualification,Al Thumama Stadium,Qatar,9,12,3,3,26,74,15,9
10/12/2022,England,France,1,2,FIFA World Cup qualification,Al Bayt Stadium,Qatar,16,8,8,5,58,42,10,14
13/12/2022,Argentina,Croatia,3,0,FIFA World Cup qualification,Lusail Stadium,Qatar,9,12,7,2,39,61,15,8
14/12/2022,France,Morocco,2,0,FIFA World Cup qualification,Al Bayt Stadium,Qatar,14,13,3,3,38,62,11,11
